"%s product requires your attention.","%s product requires your attention."
"%s product was added to your shopping cart.","%s product was added to your shopping cart."
"%s products require your attention.","%s products require your attention."
"%s products were added to your shopping cart.","%s products were added to your shopping cart."
"%s was added to your shopping cart.","%s was added to your shopping cart."
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> product(s) require attention"
"Access denied.","Access denied."
"Action","Action"
"Add Products","Add Products"
"Add Products By SKU","Add Products By SKU"
"Add Products to Order","Add Products to Order"
"Add Selected Product(s) to Shopping Cart","Add Selected Product(s) to Shopping Cart"
"Add To Cart","Add To Cart"
"Add to Order","Add to Order"
"Add to Order by SKU","Add to Order by SKU"
"Add to Shopping Cart","Add to Shopping Cart"
"Add to Shopping Cart by SKU","Add to Shopping Cart by SKU"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row."
"An error has occurred. See error log for details.","An error has occurred. See error log for details."
"Apply","Apply"
"Apply Coupon","Apply Coupon"
"Apply Coupon Code","Apply Coupon Code"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping cart?"
"Availability: Out of stock.","Availability: Out of stock."
"Cancel","Cancel"
"Cannot add product","Cannot add product"
"Cannot configure product","Cannot configure product"
"Choose some products to add to shopping cart.","Choose some products to add to shopping cart."
"Clear Shopping Cart","Clear Shopping Cart"
"Configure","Configure"
"Coupon code ""%s"" is not valid","Coupon code ""%s"" is not valid"
"Customer Groups","Customer Groups"
"Customer not found","Customer not found"
"Customers","Customers"
"Defines whether a link to My Account > Order by SKU page will be displayed on the widget","Defines whether a link to My Account > Order by SKU page will be displayed on the widget"
"Disabled products cannot be added.","Disabled products cannot be added."
"Discount","Discount"
"Display a Link to Loading a Spreadsheet","Display a Link to Loading a Spreadsheet"
"Enable Order by SKU on My Account in Frontend","Enable Order by SKU on My Account in Frontend"
"Excl. Tax","Excl. Tax"
"Failed to add a product of order item","Failed to add a product of order item"
"Failed to reorder item","Failed to reorder item"
"File","File"
"File cannot be uploaded.","File cannot be uploaded."
"File is corrupt.","File is corrupt."
"File is empty.","File is empty."
"Get notified when back in stock","Get notified when back in stock"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid block: %s.","Invalid block: %s."
"Item was successfully removed.","Item was successfully removed."
"Items were successfully removed.","Items were successfully removed."
"Last ordered items (%s)","Last ordered items (%s)"
"Link Text","Link Text"
"Load a list of SKUs","Load a list of SKUs"
"Manage Customers","Manage Customers"
"Manage Shopping Cart","Manage Shopping Cart"
"Move to Wishlist","Move to Wishlist"
"No","No"
"No ordered items","No ordered items"
"Only %s%g%s left in stock","Only %s%g%s left in stock"
"Only .csv file format is supported.","Only .csv file format is supported."
"Only <span id=""","Only <span id="""
"Order by SKU","Order by SKU"
"Order by SKU Description","Order by SKU Description"
"Order by SKU Settings","Order by SKU Settings"
"Order by SKU Template","Order by SKU Template"
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Please enter a valid number in the ""Qty"" field.","Please enter a valid number in the ""Qty"" field."
"Please specify the product\'s options.","Please specify the product\'s options."
"Price","Price"
"Product","Product"
"Product Name","Product Name"
"Product","Product"
"Products","Products"
"Products in the Comparison List (%s)","Products in the Comparison List (%s)"
"Qty","Qty"
"Quantity","Quantity"
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"Recently Compared Products (%s)","Recently Compared Products (%s)"
"Recently Viewed Products (%s)","Recently Viewed Products (%s)"
"Remove","Remove"
"Remove All","Remove All"
"Remove Coupon Code","Remove Coupon Code"
"Requested quantity is not available.","Requested quantity is not available."
"Reset","Reset"
"Row Subtotal","Row Subtotal"
"SKU","SKU"
"SKU not found in catalog.","SKU not found in catalog."
"SKU: ","SKU: "
"Shopping Cart","Shopping Cart"
"Shopping Cart Items","Shopping Cart Items"
"Shopping Cart Management","Shopping Cart Management"
"Shopping Cart for %s in %s","Shopping Cart for %s in %s"
"Shopping cart management disabled for this customer.","Shopping cart management disabled for this customer."
"Specify the product\'s options","Specify the product\'s options"
"Store not found.","Store not found."
"Subtotal","Subtotal"
"Subtotal:","Subtotal:"
"The product cannot be added to cart in requested quantity.","The product cannot be added to cart in requested quantity."
"The product cannot be added to cart.","The product cannot be added to cart."
"The product is assigned to another website.","The product is assigned to another website."
"The text of the link to the My Account > Order by SKU page","The text of the link to the My Account > Order by SKU page"
"Total","Total"
"Total %d product(s)","Total %d product(s)"
"Total incl. tax","Total incl. tax"
"Update Items and Qty\'s","Update Items and Qty\'s"
"View Shopping Cart","View Shopping Cart"
"View and modify Shopping Cart","View and modify Shopping Cart"
"Wishlist (%s)","Wishlist (%s)"
"Wishlist item id is not received.","Wishlist item id is not received."
"Wishlist item is not loaded.","Wishlist item is not loaded."
"Yes, for Everyone","Yes, for Everyone"
"Yes, for Specified Customer Groups","Yes, for Specified Customer Groups"
"You have %d item(s) requiring attention.","You have %d item(s) requiring attention."
"You have not entered any product sku.","You have not entered any product sku."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku."
