Back,Volver
Apply,Confirmar
Customers,Clientes
Action,Acción
Edit,Editar
Email,Email
Delete,Eliminar
Save,Guardar
"Custom Variables","Variables personalizadas"
Export,Exportar
"Cache Management","Gestión de Caché."
"Manage Stores","Gestionar Tiendas"
"URL Rewrites","URL Rewrites"
"IP Address","Dirección IP"
"Access denied","Acceso denegado"
Time,Tiempo
View,Ver
N/A,N/A
label,label
Import,Importar
"Catalog Price Rules","Catálogo de Normas sobre Precios"
"Customer Groups","Grupos de Cliente"
"Catalog Search","Catálogo de búsquedas"
Login,"Iniciar sesión"
"Checkout Terms and Conditions","Verificar términos y condiciones"
Daily,Diario
Weekly,Semanalmente
Monthly,Mensualmente
"Manage Currency Rates","Gestionar Tasa de Moneda"
Date,Fecha
Reports,Informes
"Transactional Emails","Emails Transaccionales"
New,Nuevo
"Index Management","Gestión de Índices"
Username,"Nombre de Usuario"
"Admin Actions Log Archive","Archivo del Diario de Acciones Administrativas"
"Log Entry #%1","Log Entry #%1"
"Log Entry Details","Detalles de Entrada en Log"
"Source Data","Datos de Fuente"
"Value Before Change","Valor Antes del Cambio"
"Value After Change","Valor Después del Cambio"
"No changes","Sin Cambios"
"Item was deleted","No se ha borrado el artículo."
"All Users","Todos los Usuarios"
"Admin Actions Log","Diario de Acciones Administrativas"
Report,Informe
"Admin Actions Archive","Admin Actions Archive"
"actions' 'label","actions' 'label"
"%1 & applied","%1 & applied"
"Tax Rates Import","Importar Tarifa de Impuestos"
"Attributes Updated","Atributos Actualizados"
"Currency Rates Saved","Tasas de cambio guardadas"
"Cache types: %1 ","Cache types: %1 "
"Tax Rates Export","Exportar Tarifa de Impuestos"
"User is locked","El usuario está bloqueado"
Success,Éxito
Failure,Fallo
"Admin User Data","Administrar Datos de Usuario"
"Aggregated Information","Información en Conjunto"
"Admin User ID","Administrar Identificación de Usuario"
"Admin User Name","Administrar Nombre de Usuario"
IP-Address,Dirección-IP
"X-Forwarded For","X-Reenviado Para"
"Error Message","Mensaje de error"
"Related Changes","Cambios Relacionados"
"Newsletter Templates","Plantillas de Boletín de Noticias"
"Newsletter Queue","Cola de Boletín de Noticias"
"Newsletter Subscribers","Suscriptores de Boletín de Noticias"
"PayPal Settlement Reports","Informes de Contrato de PayPal"
"Recurring Billing Payments","Recurring Billing Payments"
CSV,CSV
"Excel XML","Excel XML"
Print,Imprimir
Reorder,Reordenar
Fetch,Recuperar
"Cart Price Rules","Cart Price Rules"
"XML Sitemap","XML Sitemap"
"Tax Rules","Reglas de Impuestos"
"CMS Pages","Páginas del CMS"
Rollback,Revertir
"Google Shopping","Google Shopping"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Log Archiving Frequency"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
1,1
"Mass Delete","Borrado masivo"
"Mass Update","Actualización masiva"
Move,Mover
"Forgot Password","Olvidé la contraseña"
"Global Search","Búsqueda global"
Run,Ejecutar
"Reindex Process","Proceso de reindexación"
Clean,Limpiar
Flush,Vaciar
"Update Payment","Actualizar perfil"
"Update State","Actualizar estado"
Send,Enviar
Create,Crear
"Catalog Products","Catálogo de productos"
"Catalog Categories","Catálogo de Categorías"
"Catalog Ratings","Catáologo de calificaciones"
"Catalog Reviews","Catálogo de comentarios"
"Catalog Attributes","Catálogo de Atributos"
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In","Administrar Entrada al Sistema"
"CMS Blocks","Bloqueos de CMS"
"System Configuration","Configuración de Sistema"
"Admin My Account","Administrar Mi Cuenta"
"Sales Orders","Pedidos de Ventas"
"Sales Order Status","Estado de Pedido de Ventas"
"Sales Invoices","Facturas de Ventas"
"Sales Shipments","Envíos de Ventas"
"Sales Credit Memos","Notas de abono de ventas"
"Admin Permission Roles","Administrar Perfiles de Autorización"
"Admin Permission Users","Administrar Permisos de Usuarios"
"Manage Websites","Gestionar Páginas Web"
"Manage Store Views","Gestionar Vistas de Tienda"
"Manage Design","Gestionar Diseño"
"System Backups","Copias seguridad de Sistema"
"Customer Tax Classes","Tipos de impuestos del cliente"
"Catalog Product Tax Classes","Catálogo de clases de tasas del producto"
"Tax Rates","Tarifa de Impuestos"
"Frontend App Instance","Frontend App Instance"
"Archive File","Fichero de Archivos"
"Action Group","Acción de Grupo"
Result,Resultado
"Full Action Name","Nombre completo de la acción"
"Short Details","Detalles Reducidos"
"Full Details","Detalles completos"
