Back,Voltar
Apply,Solicitar
Customers,Clientes
Action,Ação
Edit,Editar
Email,E-mail
Delete,Excluir
Save,Salvar
"Custom Variables","Variáveis de Personalização."
Export,Exportar
"Cache Management","Gerenciamento de Cache"
"Manage Stores","Gerenciar Lojas"
"URL Rewrites","URL Rewrites"
"IP Address","Endereço de IP"
"Access denied","Acesso negado"
Time,Tempo
View,Ver
N/A,Indisponível
label,label
Import,Importar
"Catalog Price Rules","Regras de Preço do Catálogo"
"Customer Groups","Grupos do cliente"
"Catalog Search","Busca de Catálogo"
Login,Conectar-se
"Checkout Terms and Conditions","Verificação dos Termos e Condições"
Daily,Diário
Weekly,Semanalmente
Monthly,Mensal
"Manage Currency Rates","Gerenciar Taxas de Câmbio"
Date,Data
Reports,Relatórios
"Transactional Emails","Emails de Transações"
New,Novo
"Index Management","Gerenciamento de Índice"
Username,"Nome do usuário"
"Admin Actions Log Archive","Arquivo de Log das Ações do Admin"
"Log Entry #%1","Log Entry #%1"
"Log Entry Details","Detalhes da Entrada de Registro"
"Source Data","Dados Fonte"
"Value Before Change","Valor depois da mudança"
"Value After Change","Valor antes da mudança"
"No changes","Sem alteração"
"Item was deleted","Item excluído"
"All Users","Todos os Usuários"
"Admin Actions Log","Log de Ações do Admin"
Report,Relatório
"Admin Actions Archive","Admin Actions Archive"
"actions' 'label","actions' 'label"
"%1 & applied","%1 & applied"
"Tax Rates Import","Taxas de Impostos Importação"
"Attributes Updated","Atributos Atualizados"
"Currency Rates Saved","Taxas de Câmbio Salvo."
"Cache types: %1 ","Cache types: %1 "
"Tax Rates Export","Taxas de Impostos Exportação"
"User is locked","O usuário está bloqueado"
Success,Sucesso
Failure,Falha
"Admin User Data","Dados do Usuário Admin"
"Aggregated Information","Informação Agregada"
"Admin User ID","ID do Usuário Admin"
"Admin User Name","Nome do Usuário Admin"
IP-Address,"Endereço IP"
"X-Forwarded For",X-Forwarded-For
"Error Message","Mensagem de Erro"
"Related Changes","Alterações Relacionadas"
"Newsletter Templates","Modelos de Boletim Informativo"
"Newsletter Queue","Fila do Boletim Informativo"
"Newsletter Subscribers","Assinantes do Boletim Informativo"
"PayPal Settlement Reports","Relatórios de Pagamento PayPal"
"Recurring Billing Payments","Recurring Billing Payments"
CSV,CSV
"Excel XML","Excel XML"
Print,Imprimir
Reorder,Rearranjar
Fetch,Buscar
"Cart Price Rules","Cart Price Rules"
"XML Sitemap","XML Sitemap"
"Tax Rules","Regras de Impostos"
"CMS Pages","Páginas CMS"
Rollback,Reversão
"Google Shopping","Google Shopping"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Log Archiving Frequency"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
1,1
"Mass Delete","Excluir em Massa"
"Mass Update","Atualização em Massa"
Move,Mover
"Forgot Password","Esqueceu a Senha?"
"Global Search","Busca Global"
Run,Executar
"Reindex Process","Reindexar Processo"
Clean,Limpar
Flush,Descarga
"Update Payment","Atualizar Perfil"
"Update State","Atualizar Estado"
Send,Enviar
Create,Criar
"Catalog Products","Produtos do Catálogo"
"Catalog Categories","Categorias do Catálogo"
"Catalog Ratings","Avaliações dos Catálogos"
"Catalog Reviews","Revisões do Catálogo"
"Catalog Attributes","Atributos do Catálogo"
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In","Iniciar Sessão do Admin"
"CMS Blocks","Blocos do CMS"
"System Configuration","Configuração de Sistema"
"Admin My Account","Admin Minha Conta"
"Sales Orders","Pedidos de Venda"
"Sales Order Status","Status do Pedido de Venda"
"Sales Invoices","Faturas de Vendas"
"Sales Shipments","Remessas de Vendas"
"Sales Credit Memos","Memorandos de Crédito de Vendas"
"Admin Permission Roles","Admin Regras de Permissão"
"Admin Permission Users","Admin Permissão para Usuários"
"Manage Websites","Gerenciar Websites"
"Manage Store Views","Gerenciar Visualizações de Loja"
"Manage Design","Gerenciar Design"
"System Backups","Backups de Sistema"
"Customer Tax Classes","Classes de Taxa do Cliente"
"Catalog Product Tax Classes","Classes de Taxa de Produto do Catálogo"
"Tax Rates","Taxas de Impostos"
"Frontend App Instance","Frontend App Instance"
"Archive File","Arquivo Morto"
"Action Group","Grupo de Ação"
Result,Resultado
"Full Action Name","Nome Completo da Ação"
"Short Details","Resumo de Informações"
"Full Details","Detalhes Completos"
