Back,返回
Apply,应用
Customers,客户
Action,操作
Edit,编辑
Email,电子邮件
Delete,删除
Save,保存
"Custom Variables",自定义变量
Export,导出
"Cache Management",缓存管理
"Manage Stores",管理店铺
"URL Rewrites","URL Rewrites"
"IP Address",IP地址
"Access denied",访问被拒绝
Time,时间
View,查看
N/A,N/A
label,label
Import,导入
"Catalog Price Rules",分类价格规则
"Customer Groups",客户组
"Catalog Search",分类搜索
Login,登录
"Checkout Terms and Conditions",结账条款和情况
Daily,每天
Weekly,每周
Monthly,每月
"Manage Currency Rates",管理汇率
Date,日期
Reports,报告
"Transactional Emails",交易邮件
New,新建
"Index Management",索引管理
Username,用户名
"Admin Actions Log Archive",管理操作日志存档
"Log Entry #%1","Log Entry #%1"
"Log Entry Details",日志项详情
"Source Data",源日期
"Value Before Change",更改前的数值
"Value After Change",更改后的数值
"No changes",无变动
"Item was deleted",项目被删除
"All Users",所有用户
"Admin Actions Log",管理操作日志
Report,报告
"Admin Actions Archive","Admin Actions Archive"
"actions' 'label","actions' 'label"
"%1 & applied","%1 & applied"
"Tax Rates Import",税率导入
"Attributes Updated",属性已更新
"Currency Rates Saved",汇率已保存
"Cache types: %1 ","Cache types: %1 "
"Tax Rates Export",税率导出
"User is locked",用户被锁定
Success,成功
Failure,失败
"Admin User Data",管理用户数据
"Aggregated Information",已聚合信息
"Admin User ID",管理用户ID
"Admin User Name",管理用户姓名
IP-Address,IP-地址
"X-Forwarded For",X-转发：
"Error Message",错误信息
"Related Changes",相关变动
"Newsletter Templates",新闻邮件模板
"Newsletter Queue",新闻邮件队列
"Newsletter Subscribers",新闻邮件订阅者
"PayPal Settlement Reports",PayPal处理报告
"Recurring Billing Payments","Recurring Billing Payments"
CSV,CSV
"Excel XML","Excel XML"
Print,打印
Reorder,记录
Fetch,获取
"Cart Price Rules","Cart Price Rules"
"XML Sitemap","XML Sitemap"
"Tax Rules",税务规则
"CMS Pages",CMS页面
Rollback,回滚
"Google Shopping","Google Shopping"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Log Archiving Frequency"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
1,1
"Mass Delete",批量删除
"Mass Update",批量更新
Move,移动
"Forgot Password",忘记密码
"Global Search",全局搜索
Run,运行
"Reindex Process",重新索引进程
Clean,清空
Flush,消除
"Update Payment",更新配置文件
"Update State",更新状态
Send,发送
Create,创建
"Catalog Products",分类产品
"Catalog Categories",分类属性
"Catalog Ratings",分类评级
"Catalog Reviews",分类审查
"Catalog Attributes",分类属性
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In",管理登录
"CMS Blocks",CMS块
"System Configuration",系统配置
"Admin My Account",管理我的帐户
"Sales Orders",销售订单
"Sales Order Status",销售订单状态
"Sales Invoices",销售清单
"Sales Shipments",销售货运
"Sales Credit Memos",销售信用记录
"Admin Permission Roles",管理权限角色
"Admin Permission Users",管理权限用户
"Manage Websites",管理网站
"Manage Store Views",管理店铺视图
"Manage Design",管理设计
"System Backups",系统备份
"Customer Tax Classes",客户税率
"Catalog Product Tax Classes",分类产品税率
"Tax Rates",税率
"Frontend App Instance","Frontend App Instance"
"Archive File",存档文件
"Action Group",操作组
Result,结果
"Full Action Name",完整操作名称
"Short Details",简短详情
"Full Details",完整详情
