"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validatie is vereist voor Maestro kaarten. Ondersteuning van American Express kaarten vereisen extra overeenkomst. Kijk ook op <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Ability for buyer to purchase without PayPal account.","Mogelijkheid voor de koper om te kopen zonder PayPal account."
"Account Status","Account Status"
"Active","Actief"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Voeg een Express Checkout knop toe aan uw bestaande winkelwagen voor snelle en gemakkelijke creditcardbetalingen. PayPal zorgt voor de verwerking van alle betalingen.  "
"Allowed Credit Card Types","Toegestane Kredietkaarten Types"
"Also affects mini-shopping cart.","Heeft ook een effect op de mini-winkelwagen."
"API Credentials","API Verificatiegegevens"
"Authentication Method","Verificatie-methode"
"Boarding Status","Boord Status"
"Canceled","Geannuleerd"
"Centinel Custom Api URL","Centinel Aangepaste Api URL"
"Countries Payment Applicable From","Landen Waaruit Betaling van Toepassing"
"Credit Card Settings","Creditkaart Instellingen"
"Debug Mode","Debug Modus"
"Disabled","Uitgeschakeld"
"Display Express Checkout in the Payment Information step","Weergave Snel uitchecken in de Betalingsinformatie stap"
"Does not work if there are more than 10 shipping options available.","Werkt niet als er meer als 10 verzend opties beschikbaar zijn."
"Enable PayPal Guest Checkout","Inschakelen van PayPal gast afrekening"
"Enable this Solution","Deze oplossing inschakelen"
"Grant Permissions to Magento Go with PayPal","Toestemmingen verlenen voor Magento Go met PayPal"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Indien leeg, een standaard waarde kan worden gebruikt. Een aangepaste URL kan worden geleverd volgens de CardinalCommerce overeenkomst"
"If this is an existing PayPal account - ","Als dit een bestaande PayPal-rekening is -"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Als deze optie is ingeschakeld; kan de klant het afleveradres en bezorgingsmethode aanpassen op de PayPal website. Werkt live alleen via het HTTPS protocol."
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Het is aanbevolen deze waarde naar ""betaalkaart of creditcard"" per winkel view in te stellen."
"It is recommended to set this value to ""PayPal"" per store views.","Het is aanbevolen deze waarde naar ""PayPal"" per winkel view in te stellen."
"Method's Settings","Methode Instellingen"
"Payment Action","Betaling"
"Payment Applicable From","Betaling van Toepassing Van"
"Paypal Account","Paypal Rekening"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Order Review Form","PayPal Express Bestelling Terugzien Formulier"
"Pending","In afwachting"
"Permissions","Vergunningen"
"Require CVV Entry","Vereist invoer CVV"
"Setup or change your site permissions with Paypal","Stel uw site acceptaties in of verander deze met Paypal"
"Severe 3D Secure Card Validation","Strenge 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Strenge validatie verwijdert terugboekingsaansprakelijkheid voor de handelaar"
"Shortcut Buttons Flavor","Snelkoppeling knoppen flavor"
"Shortcut on Product View","Snelkoppeling op product bekijken"
"Shortcut on Shopping Cart","Snelkoppeling op winkelmandje"
"Sort Order","Sorteer Bestelling"
"Title","Titel"
"Transfer Cart Line Items","Plaats Winkelwagentje Posten Over"
"Transfer Shipping Options","Plaats Verzendingsopties Over"
"Unable to start Express Checkout.","Onmogelijk om Express Checkout te beginnen"
"Value must contain only alphanumeric character","Waarde mag alleen alfanumerieke tekens bevatten."
"Website Payment Pro (Permissions)","Website Pro Betaling (Acceptaties)"
"Website Payment Pro (Permissions) Settings","Website Pro Betaling (Acceptaties) Instellingen"
"Website Payments Pro (API Credentials)","Website Payments Pro (API Credentials)"
"Website Payments Pro (API Credentials) Settings","Website Payments Pro (API Credentials) Instellingen"
"You will be redirected to the Paypal site.  Any Express Checkout or Website Payment Pro settings will be reset. Are you sure?","Onmogelijk om Express Checkout te beginnen"
