"3D Secure Check will be unavailable if CIM enabled.","El control 3D Secure no estará disponible si el CIM está activado."
"<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">Sign up for Authorize.net</a>","<a href=""http://golinks.magento.com/authorize_netRegistration"" target=""_blank"">Regístrese en Authorize.net</a>"
"Aurore","Aurora"
"Carte Bancaire CB","Tarjeta bancaria CB"
"Diners Club","Diners Club"
"e-Carte Bleue","Tarjeta de débito electrónica"
"Enable 3D Secure Card Validation in Admin","Activar validación de tarjetas 3D Secure en el Administrador"
"Enable 3D Secure Card Validation on Frontend","Activar validación de tarjetas 3D Secure en el «Frontend»"
"Enable CIM","Activar CIM"
"Inline CSS styles","Estilos CSS en línea"
"Maestro","Maestro"
"Method is not present.","El método no está presente."
"Payment Bridge action is not set.","No se ha establecido la acción de Payment Bridge."
"Payment Bridge Styling","Estilo del Puente de pago"
"Use Current Design","Usar diseño actual"
