"%s is not a supported currency.","%s 不是可支持的币种。"
"Accept","接受"
"Basic","基本"
"Cannot retrieve rate from %s to %s.","无法从 %s 到 %s 获取费率。"
"Cannot retrieve rate from Strikeiron.","无法从Strikeiron获取费率。"
"Check All Email Servers","检查所有邮件服务器"
"Complete","完成"
"Country/Region/Postal Code Combination","国家/地区/邮编 组合"
"Customer Tax Class","客户税务类型"
"Email Verification","邮件验证"
"Enable Email Verification","启用邮件验证"
"Enable Foreign Exchange Rate","启用外币兑换比率"
"Enable Global Address Verification","启用全球地址验证"
"Enable Sales and Use Tax","启用销售和使用税"
"Enable US Address Verification","启用美国地址验证"
"Error Address Action","错误的地址操作"
"Error Email Recipient","邮件接收有误"
"Error Email Sender","邮件发送有误"
"Error Email Template","邮件模板有误"
"Foreign Exchange Rates","外币兑换比率"
"Global Address Verification","全球地址验证"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","如果使用完整类型且邮编属于多个不同税务区域，选择按最低税率，或按最高税率收取。"
"Invalid email address.","邮件地址无效。"
"Maximum Tax Rate","最高税率"
"Minimum Tax Rate","最低税率"
"Password","密码"
"Pop up warning and accept","弹出菜单警告和接受"
"Product Tax Class","产品税务类型"
"Reject","拒绝"
"Sales and Use Tax","销售和使用税"
"Sales and Use Tax Type","销售和使用税类型"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron配置"
"Strikeiron Section","Strikeiron区域"
"Strikeiron foreign exchange rate is disabled.","Strikeiron外币交换比率被禁用。"
"Tax","传真"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","该电子邮件地址无法验证。请再次检查并确保您输入的邮件地址正确无误。"
"There are no more hits remaining for the foreign Exchange Rate Service.","对于外币交换比率服务没有更多提示了。"
"There is an error in retrieving the tax rate. Please contact us.","获取税率时出错。请联系我们。"
"There is an error in verifying an email. Please contact us.","验证邮件地址时出错。请联系我们。"
"There is no response back from Strikeiron server.","没收到来自Strikeiron服务器的响应。"
"US Address Verification","美国地址议案正"
"Undetermined Email Action","未确定的邮件操作"
"Use","使用"
"User ID","用户ID"
"Verify Address in Admin","在管理界面验证地址"
"Verify Email in Admin","在管理界面验证邮件"
